game_id,play_no,wp
401228884,82,0.999
401228884,83,0.998
401228884,84,0.999
401228884,85,1.0
401227924,0,0.341
401227924,1,0.36
401227924,2,0.374
401227924,3,0.356
401227924,4,0.345
401227924,5,0.356
401227924,6,0.374
401227924,7,0.332
401227924,8,0.357
401227924,9,0.377
401227924,10,0.358
401227924,11,0.392
401227924,12,0.374
401227924,13,0.403
401227924,14,0.423
401227924,15,0.433
401227924,16,0.639
401227924,17,0.627
401227924,18,0.66
401227924,19,0.672
401227924,20,0.687
401227924,21,0.67
401227924,22,0.659
401227924,23,0.656
401227924,24,0.525
401227924,25,0.445
401227924,26,0.472
401227924,27,0.288
401227924,28,0.306
401227924,29,0.288
401227924,30,0.291
401227924,31,0.308
401227924,32,0.287
401227924,33,0.276
401227924,34,0.267
401227924,35,0.292
401227924,36,0.266
401227924,37,0.304
401227924,38,0.13
401227924,39,0.137
401227924,40,0.133
401227924,41,0.122
401227924,42,0.12
401227924,43,0.131
401227924,44,0.141
401227924,45,0.15
401227924,46,0.124
401227924,47,0.154
401227924,48,0.123
401227924,49,0.102
401227924,50,0.104
401227924,51,0.109
401227924,52,0.102
401227924,53,0.112
401227924,54,0.088
401227924,55,0.072
401227924,56,0.092
401227924,57,0.072
401227924,58,0.078
401227924,59,0.066
401227924,60,0.075
401227924,61,0.085
401227924,62,0.16
401227924,63,0.236
401227924,64,0.144
401227924,65,0.074
401227924,66,0.123
401227924,67,0.215
401227924,68,0.293
401227924,69,0.915
401227924,70,0.915
401227924,71,0.841
401227924,72,0.59
401227924,73,0.752
401227924,74,0.431
401227924,75,0.538
401227924,76,0.65
401227924,77,0.594
401227924,78,0.542
401227924,79,0.526
401227924,80,0.545
401227924,81,0.423
401227924,82,0.432
401227924,83,0.387
401227924,84,0.53
401227924,85,0.527
401227924,86,0.511
401227924,87,0.657
401227924,88,0.765
401227924,89,0.747
401227924,90,0.632
401227924,91,0.524
401227924,92,0.624
401227924,93,0.725
401227924,94,0.821
401227924,95,0.845
401227924,96,0.819
401227924,97,1.0
401227888,0,0.723
401227888,1,0.735
401227888,2,0.743
401227888,3,0.772
401227888,4,0.709
401227888,5,0.715
401227888,6,0.693
401227888,7,0.715
401227888,8,0.689
401227888,9,0.656
401227888,10,0.523
401227888,11,0.599
401227888,12,0.616
401227888,13,0.718
401227888,14,0.741
401227888,15,0.776
401227888,16,0.76
401227888,17,0.725
401227888,18,0.68
401227888,19,0.702
401227888,20,0.666
401227888,21,0.627
401227888,22,0.562
401227888,23,0.654
401227888,24,0.732
401227888,25,0.764
401227888,26,0.799
401227888,27,0.795
401227888,28,0.721
401227888,29,0.673
401227888,30,0.693
401227888,31,0.674
401227888,32,0.697
401227888,33,0.674
401227888,34,0.654
401227888,35,0.653
401227888,36,0.562
401227888,37,0.635
401227888,38,0.391
401227888,39,0.365
401227888,40,0.414
401227888,41,0.371
401227888,42,0.338
401227888,43,0.312
401227888,44,0.329
401227888,45,0.34
401227888,46,0.349
401227888,47,0.299
401227888,48,0.263
401227888,49,0.281
401227888,50,0.237
401227888,51,0.243
401227888,52,0.255
401227888,53,0.259
401227888,54,0.337
401227888,55,0.3
401227888,56,0.228
401227888,57,0.269
401227888,58,0.65
401227888,59,0.578
401227888,60,0.631
401227888,61,0.668
401227888,62,0.367
401227888,63,0.379
401227888,64,0.299
401227888,65,0.233
401227888,66,0.183
401227888,67,0.198
401227888,68,0.208
401227888,69,0.194
401227888,70,0.074
401227888,71,0.081
401227888,72,0.026
401227888,73,0.013
401227888,74,0.0
401229004,0,0.491
401229004,1,0.511
401229004,2,0.527
401229004,3,0.571
401229004,4,0.622
401229004,5,0.61
401229004,6,0.677
401229004,7,0.7
401229004,8,0.709
401229004,9,0.672
401229004,10,0.635
401229004,11,0.676
401229004,12,0.644
401229004,13,0.692
401229004,14,0.588
401229004,15,0.623
401229004,16,0.599
401229004,17,0.592
401229004,18,0.582
401229004,19,0.613
401229004,20,0.638
401229004,21,0.625
401229004,22,0.661
401229004,23,0.636
401229004,24,0.615
401229004,25,0.624
401229004,26,0.597
401229004,27,0.63
401229004,28,0.655
401229004,29,0.642
401229004,30,0.678
401229004,31,0.654
401229004,32,0.636
401229004,33,0.644
401229004,34,0.637
401229004,35,0.654
401229004,36,0.682
401229004,37,0.658
401229004,38,0.704
401229004,39,0.746
401229004,40,0.708
401229004,41,0.736
401229004,42,0.786
401229004,43,0.807
401229004,44,0.929
401229004,45,0.923
401229004,46,0.942
401229004,47,0.924
401229004,48,0.947
401229004,49,0.96
401229004,50,0.956
401229004,51,0.962
401229004,52,0.957
401229004,53,0.953
